OBJECTID,ID,ORIGGPLU,Shape_Leng,Shape_Area,FID_,OBJECTID_1,JURIS,COUNTY,LPSCODE,PLANDATE,ORIGGPLU_1,GENGPLU,max_far,max_height,max_dua,max_du_per,HS,HT,HM,OF_,HO,SC,IL,IW,IH,RS,RB,MR,MT,ME,ABAGGPLU,Acres,Shape_Le_1,Shape_Ar_1
223,60223,115 - Residential over 30 du/ac,11552.13809,157294.3587,35709,35710,Castro Valley,Alameda,115,,115 - Residential over 30 du/ac,Residential,0,0,35,0,0,1,1,0,0,0,0,0,,0,0,0,0,0,,1.283217894,283.5376069,5193
224,60224,115 - Restaurants & Entertainment,2859.543796,41379.24063,30532,30431,Castro Valley,Alameda,115,,115 - Restaurants & Entertainment,Commercial,0,0,0,0,0,0,0,0,1,0,0,0,,1,1,0,1,1,,0.115554816,91.93991429,467.6343028
225,60225,115 - Retail Commercial,7819.989242,154243.7015,35769,35770,Castro Valley,Alameda,115,,115 - Retail Commercial,Commercial,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,0,1,1,,0.045460891,72.45355453,183.9742942
226,60226,115 - Rural Agriculture,1193.896016,68863.11764,30533,30432,Castro Valley,Alameda,115,,115 - Rural Agriculture,Agriculture/Resource Extraction,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,17.01644487,1193.9,68863.12
227,60227,115 - Vacant,7999.678871,177410.4313,35795,35796,Castro Valley,Alameda,115,,115 - Vacant,Other/Unknown,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,1.855922458,423.4077014,7510.65
228,60228,116 - General Commercial,14028.66938,266477.6913,43018,42914,Cherryland,Alameda,116,,116 - General Commercial,Commercial,0,0,0,0,0,0,0,1,1,1,0,0,,1,1,0,1,1,,0.437726351,171.229086,1771.42
229,60229,116 - General Commercial or Medium/ High Density Residential,57.72296357,18.02664319,36562,36430,Cherryland,Alameda,116,6-Jul,116 - General Commercial or Medium/ High Density Residential,Mixed Use: Residential & Commercial,0,0,43,0,1,1,1,1,1,1,0,0,,1,1,1,1,1,,0.004454503,57.72296357,18.02664319
230,60230,116 - General Commercial/Low-Medium Density Residential allowed,1026.046551,26020.57526,43039,42935,Cherryland,Alameda,116,,116 - General Commercial/Low-Medium Density Residential allowed,Mixed Use: Residential & Commercial,0,0,12,0,1,1,1,1,1,1,0,0,,1,1,1,1,1,,2.545958021,469.7848182,10303.12
231,60231,116 - General Commercial/Medium & High Density Residential allowed,21970.27857,527003.5615,43348,43244,Cherryland,Alameda,116,Nov-83,116 - General Commercial/Medium & High Density Residential allowed,Mixed Use: Residential & Commercial,0,0,43,0,1,1,1,1,1,1,0,0,,1,1,1,1,1,,6.983117313,1222.91,28259.68
232,60232,116 - General Commercial/Medium Density Residential allowed,13313.19824,282649.9725,43041,42937,Cherryland,Alameda,116,,116 - General Commercial/Medium Density Residential allowed,Mixed Use: Residential & Commercial,0,0,43,0,1,1,1,1,1,1,0,0,,1,1,1,1,1,,1.244775138,321.028741,5037.43
233,60233,116 - High Density Residential,280.4593972,4214.169864,43014,42910,Cherryland,Alameda,116,,116 - High Density Residential,Residential,0,0,86,0,1,1,1,0,0,0,0,0,,0,0,0,0,0,,1.041343047,280.4593972,4214.17
234,60234,116 - High Density Residential/General Commercial allowed,886.4380432,30206.07601,43016,42912,Cherryland,Alameda,116,Nov-83,116 - High Density Residential/General Commercial allowed,Mixed Use: Residential & Commercial,0,0,86,0,1,1,1,1,1,1,0,0,,1,1,1,1,1,,7.464083281,886.4380432,30206.08
235,60235,116 - Light Industrial and Research & Development/Office,10346.41665,690489.4833,43047,42943,Cherryland,Alameda,116,,116 - Light Industrial and Research & Development/Office,Mixed Use: Commercial & Industrial,0,0,0,0,0,0,0,1,1,0,1,1,,1,1,0,1,1,,42.32674334,1712.31,171290.25
236,60236,116 - Low-Medium Density Residential,65233.02496,1882079.317,43059,42955,Cherryland,Alameda,116,,116 - Low-Medium Density Residential,Residential,0,0,12,0,1,1,1,0,0,0,0,0,,0,0,0,0,0,,5.08241671,588.5047885,20567.82
237,60237,116 - Low-Medium Density Residential/General Commercial,1505.063499,33517.02086,43015,42911,Cherryland,Alameda,116,,116 - Low-Medium Density Residential/General Commercial,Mixed Use: Residential & Commercial,0,0,12,0,1,1,1,1,1,1,0,0,,1,1,1,1,1,,2.877092414,484.5298849,11643.18
238,60238,116 - Low Density Residential,235695.3378,5655458.541,43070,42966,Cherryland,Alameda,116,,116 - Low Density Residential,Residential,0,0,9,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,,8.588820365,751.3357497,34757.73
239,60239,116 - Medium-High Density Residential,9180.612203,271154.3886,43270,43166,Cherryland,Alameda,116,,116 - Medium-High Density Residential,Residential,0,0,43,0,1,1,1,0,0,0,0,0,,0,0,0,0,0,,0.757274407,248.7599477,3064.58
240,60240,116 - Medium Density Residential,78438.10952,2893531.51,43279,43175,Cherryland,Alameda,116,,116 - Medium Density Residential,Residential,0,0,22,0,1,1,1,0,0,0,0,0,,0,0,0,0,0,,2.345730455,450.3221456,9492.83
241,60241,116 - Park,7941.809455,305427.2727,43294,43190,Cherryland,Alameda,116,,116 - Park,Parks/Open Space,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,31.46933447,1518.83,127351.89
242,60242,116 - Public,17758.03808,1606947.911,43301,43197,Cherryland,Alameda,116,,116 - Public,Education/Public/Semi-Public,0,0,0,0,0,0,0,0,0,1,0,0,,0,0,0,0,0,,10.98964975,868.1003483,44473.53
243,60243,116 - San Lorenzo Village,3855.788212,116192.5788,43308,43204,Cherryland,Alameda,116,,116 - San Lorenzo Village,Mixed Use,0,0,19.5,0,1,1,1,1,1,1,0,0,,1,1,1,1,1,,0.670964587,208.214408,2715.3
244,60244,116 - School,15622.10499,839277.2378,43315,43211,Cherryland,Alameda,116,,116 - School,Education/Public/Semi-Public,0,0,0,0,0,0,0,0,0,1,0,0,,0,0,0,0,0,,9.726059799,813.4172167,39359.97
245,60245,117 - Business Park/Industrial,7636.731098,416158.4473,35821,35822,Dublin,Alameda,117,Post2002,117 - Business Park/Industrial,Mixed Use: Commercial & Industrial,0.28,35,0,0,0,0,0,1,1,0,1,1,,1,1,0,1,1,,8.77047375,791.6813974,35492.85
246,60246,117 - Business Park/Industrial: Outdoor Storage,3987.204366,231479.1823,35826,35827,Dublin,Alameda,117,Post2002,117 - Business Park/Industrial: Outdoor Storage,Mixed Use: Commercial & Industrial,0.28,45,0,0,0,0,0,1,1,0,1,1,,1,1,0,1,1,,1.204853995,379.0977816,4875.87
247,60247,117 - Campus Office,12012.29404,953805.7156,35830,35831,Dublin,Alameda,117,Post2002,117 - Campus Office,Commercial,0.75,35,0,0,0,0,0,1,1,1,0,0,,1,1,0,1,1,,2.410372764,395.718923,9754.44
248,60248,117 - Community Park,6722.833608,429594.6277,35841,35842,Dublin,Alameda,117,Post2002,117 - Community Park,Parks/Open Space,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,20.81024069,1246.22,84216.08
249,60249,117 - Estate Residential,3848.48661,341299.2543,35849,35850,Dublin,Alameda,117,Post2002,117 - Estate Residential,Residential,0.7,35,0.8,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,,1.852204577,408.5050795,7495.6
250,60250,117 - General Commercial,12145.78574,971370.4718,35852,35853,Dublin,Alameda,117,Post2002,117 - General Commercial,Commercial,0.35,45,0,0,0,0,0,1,1,1,0,0,,1,1,0,1,1,,27.52166174,1335.88,111376.22
251,60251,117 - General Commercial/Campus Office,876.4685048,47059.84458,30534,30433,Dublin,Alameda,117,Post2002,117 - General Commercial/Campus Office,Commercial,0.28,45,0,0,0,0,0,1,1,1,0,0,,1,1,0,1,1,,11.62874014,876.4685048,47059.84
252,60252,117 - High Density Residential,6941.896208,286124.2625,35861,35862,Dublin,Alameda,117,Post2002,117 - High Density Residential,Residential,0.7,35,35,0,1,1,1,0,0,0,0,0,,0,0,0,0,0,,3.659710138,495.6200626,14810.33
253,60253,117 - Low Density Residential,42693.00865,889547.2328,35872,35873,Dublin,Alameda,117,Post2002,117 - Low Density Residential,Residential,0.7,35,6,0,1,1,1,0,0,0,0,0,,0,0,0,0,0,,0.045408299,66.96763263,183.7593877
254,60254,117 - Low Density Single Family Residential,10209.61488,177959.5726,35933,35934,Dublin,Alameda,117,Post2002,117 - Low Density Single Family Residential,Residential,0.7,35,3.8,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,,2.676353256,649.2197758,10830.81
255,60255,117 - Medium-High Density Residential,22667.43742,461470.8307,35949,35950,Dublin,Alameda,117,Post2002,117 - Medium-High Density Residential,Residential,0.7,35,25,0,1,1,1,0,0,0,0,0,,0,0,0,0,0,,2.032893202,639.5203534,8226.83
256,60256,117 - Medium-High Density Residential and Retail/Office,2152.466099,43044.71654,35988,35989,Dublin,Alameda,117,Post2002,117 - Medium-High Density Residential and Retail/Office,Mixed Use: Residential & Commercial,0.45,45,35,0,0,1,1,1,1,1,0,0,,1,1,1,1,1,,0.48552865,219.00134,1964.86
257,60257,117 - Medium Density Residential,71553.80961,1881929.517,35997,35998,Dublin,Alameda,117,Post2002,117 - Medium Density Residential,Residential,0.7,35,14,0,1,1,1,0,0,0,0,0,,0,0,0,0,0,,0.03609137,49.47033168,146.0566898
258,60258,117 - Mixed Use,2627.156495,103609.3805,36094,36095,Dublin,Alameda,117,Post2002,117 - Mixed Use,Mixed Use,1,35,25,0,0,1,1,1,1,1,0,0,,1,1,1,1,1,,8.345131833,780.3835904,33771.56
259,60259,117 - Neighborhood Commercial,3091.157516,87559.19867,36098,36099,Dublin,Alameda,117,Post2002,117 - Neighborhood Commercial,Commercial,0.35,35,0,0,0,0,0,1,1,1,0,0,,1,1,0,1,1,,3.730078204,495.4951926,15095.09
260,60260,117 - Neighborhood Park,5666.169156,182184.465,36104,36105,Dublin,Alameda,117,Post2002,117 - Neighborhood Park,Parks/Open Space,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,1.5051136,479.3190468,6090.98
261,60261,117 - Neighborhood Square,933.600718,19033.28194,36114,36115,Dublin,Alameda,117,Post2002,117 - Neighborhood Square,Commercial,0,0,0,0,0,0,0,1,1,1,0,0,,1,1,0,1,1,,2.016290378,379.4918259,8159.64
262,60262,117 - Open Space,62526.4396,4110864.868,36117,36118,Dublin,Alameda,117,Post2002,117 - Open Space,Parks/Open Space,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0.908872299,305.8668441,3678.07
263,60263,117 - Parks/Public Recreation,8015.451577,325892.5409,36148,36149,Dublin,Alameda,117,Post2002,117 - Parks/Public Recreation,Parks/Open Space,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,2.780798517,457.2834636,11253.49
264,60264,117 - Public Lands,17877.56587,7570074.716,36154,36155,Dublin,Alameda,117,Post2002,117 - Public Lands,Education/Public/Semi-Public,0,0,0,0,0,0,0,0,0,1,0,0,,0,0,0,0,0,,165.6696901,3644.47,670441.45
265,60265,117 - Public/Semi-Public,25822.38251,1395854.268,36157,36158,Dublin,Alameda,117,Post2002,117 - Public/Semi-Public,Education/Public/Semi-Public,0,0,0,0,0,0,0,0,0,1,0,0,,0,0,0,0,0,,2.485606113,436.7699374,10058.89
266,60266,117 - Retail/Office,22765.86633,1041388.184,36184,36185,Dublin,Alameda,117,Post2002,117 - Retail/Office,Commercial,0.35,45,0,0,0,0,0,1,1,1,0,0,,1,1,0,1,1,,0.961783712,269.8616547,3892.2
267,60267,117 - Retail/Office and Automotive,6173.7634,217123.9473,36348,36216,Dublin,Alameda,117,Post2002,117 - Retail/Office and Automotive,Commercial,0.35,45,0,0,0,0,0,1,1,1,0,0,,1,1,0,1,1,,6.522358485,760.4783547,26395.05
268,60268,117 - Rural Residential/Agriculture,13190.45314,777457.1304,36356,36224,Dublin,Alameda,117,Post2002,117 - Rural Residential/Agriculture,Mixed Use: Residential & Parks/Open Space or Agriculture/Resource Extraction,0,35,0.01,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,,0.067737799,161.8162083,274.1264218
269,60269,117 - Single Family Residential,176572.5316,4127851.217,36364,36232,Dublin,Alameda,117,Post2002,117 - Single Family Residential,Residential,0.7,35,6,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,,2.931701299,488.9621657,11864.17
270,60270,117 - Stream Corridor,27866.55035,418868.7412,36538,36406,Dublin,Alameda,117,Post2002,117 - Stream Corridor,Parks/Open Space,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,3.517319275,846.2684389,14234.08
271,60271,119 - Agriculture,9700.665686,1206029.082,43003,42899,Fairview,Alameda,119,4-Sep,119 - Agriculture,Agriculture/Resource Extraction,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,285.0300874,8280.73,1153475.81
272,60272,119 - CN or C-1,665.7905938,13306.20192,43001,42897,Fairview,Alameda,119,4-Sep,119 - CN or C-1,Commercial,0,0,0,0,0,0,0,1,1,1,0,0,,1,1,0,1,1,,0.840977964,247.2898752,3403.32
273,60273,119 - Other/Unclassified,431.4905507,4226.020915,36594,36462,Fairview,Alameda,119,,119 - Other/Unclassified,Other/Unknown,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0.248149998,192.9752457,1004.23
274,60274,119 - Park/Open Space,34537.07348,1782771.531,36596,36464,Fairview,Alameda,119,,119 - Park/Open Space,Parks/Open Space,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0.102625297,202.1086888,415.3084132
275,60275,119 - Planned Development,8346.929246,277788.5846,43005,42901,Fairview,Alameda,119,4-Sep,119 - Planned Development,Other/Unknown,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,3.210803124,484.8562069,12993.66
276,60276,119 - Public/Institutional,3324.209968,100515.3226,36603,36471,Fairview,Alameda,119,,119 - Public/Institutional,Education/Public/Semi-Public,0,0,0,0,0,0,0,0,0,1,0,0,,0,0,0,0,0,,0.369289868,222.5121039,1494.46
277,60277,119 - R-1,33170.99635,1219582.4,42931,42827,Fairview,Alameda,119,4-Sep,119 - R-1,Residential,0,0,8.7,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,,1.676872023,349.6824522,6786.06
278,60278,119 - R-1-B-E (5 ACRE),13363.66957,1754646.606,42959,42855,Fairview,Alameda,119,4-Sep,119 - R-1-B-E (5 ACRE),Residential,0,0,0.2,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,,11.76205991,1108.13,47599.38
279,60279,119 - R-1-B-E (SQ/10000),15013.54977,888721.6458,42962,42858,Fairview,Alameda,119,4-Sep,119 - R-1-B-E (SQ/10000),Residential,0,0,4.36,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,,1.850879436,371.3818026,7490.24
280,60280,119 - R-1-B-E (SQ/20000),1160.800438,45630.85622,42929,42825,Fairview,Alameda,119,4-Sep,119 - R-1-B-E (SQ/20000),Residential,0,0,2.178,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,,11.27562905,1160.8,45630.86
281,60281,119 - R-1-B-E (SQ/50000),1636.481405,67278.02593,42930,42826,Fairview,Alameda,119,4-Sep,119 - R-1-B-E (SQ/50000),Residential,0,0,0.87,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,,16.62476221,1636.48,67278.03
282,60282,119 - R-1-B-E (SQ/6000),32149.34064,1324766.86,42971,42867,Fairview,Alameda,119,4-Sep,119 - R-1-B-E (SQ/6000),Residential,0,0,7.26,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,,0.008395467,45.81640401,33.9745282
283,60283,119 - R-1-B-E or R-1-L-B-E,7190.581305,487530.5811,42998,42894,Fairview,Alameda,119,4-Sep,119 - R-1-B-E or R-1-L-B-E,Residential,0,0,7,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,,7.914582622,1001.83,32029.19
284,60284,119 - Residential 0-4 du/ac,37287.415,647384.414,36207,36476,Fairview,Alameda,119,,119 - Residential 0-4 du/ac,Residential,0,0,4,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,,0.852953177,234.0888014,3451.78
285,60285,119 - Residential 5-8 du/ac,100.922032,664.5029423,30535,30434,Fairview,Alameda,119,,119 - Residential 5-8 du/ac,Residential,0,0,8,0,1,1,1,0,0,0,0,0,,0,0,0,0,0,,0.164202378,100.922032,664.5029423
286,60286,119 - Vacant,5580.860185,123706.1813,36785,36676,Fairview,Alameda,119,,119 - Vacant,Other/Unknown,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0.465928282,194.7938337,1885.55
287,60287,199 - Agriculture,426128.2318,543022394.9,30681,30600,Alameda County,Alameda,199,,199 - Agriculture,Agriculture/Resource Extraction,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0.316478382,305.7270307,1280.74
288,60288,199 - High Density Commercial,15484.73483,1139522.311,30695,30614,Alameda County,Alameda,199,,199 - High Density Commercial,Commercial,0,0,0,0,0,0,0,1,1,1,0,0,,1,1,0,1,1,,0.8579599,371.0897865,3472.04
289,60289,199 - High Density Residential,22660.31425,2080547.939,30707,30626,Alameda County,Alameda,199,,199 - High Density Residential,Residential,0,0,86,0,0,1,1,0,0,0,0,0,,0,0,0,0,0,,0.000848496,14.12673068,3.433805175
290,60290,199 - Industrial,15090.31757,1160121.078,30719,30638,Alameda County,Alameda,199,,199 - Industrial,Industrial,0,0,0,0,0,0,0,0,0,0,1,1,,0,0,0,0,0,,73.60550556,2236.07,297870.94
291,60291,199 - Light Commercial,6566.881691,247764.2003,30724,30643,Alameda County,Alameda,199,,199 - Light Commercial,Commercial,0,0,0,0,0,0,0,1,1,1,0,0,,1,1,0,1,1,,0.108386827,109.9319644,438.6268789
292,60292,199 - Low Density Residential,122757.6611,13829408.1,30729,30648,Alameda County,Alameda,199,,199 - Low Density Residential,Residential,0,0,9,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,,0.062673267,121.952858,253.6292576
293,60293,199 - Medium Density Residential,207425.1428,26750136.96,30776,30695,Alameda County,Alameda,199,,199 - Medium Density Residential,Residential,0,0,22,0,1,1,1,0,0,0,0,0,,0,0,0,0,0,,0.000325754,9.796923165,1.318296589
294,60294,199 - Mixed Use,6694.28982,670330.1228,30863,30782,Alameda County,Alameda,199,,199 - Mixed Use,Mixed Use,0,0,22,0,1,1,1,1,1,1,0,0,,1,1,1,1,1,,96.07727786,3273.07,388810.95
295,60295,199 - Open Space,645600.4262,440867420.5,30866,30785,Alameda County,Alameda,199,,199 - Open Space,Parks/Open Space,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,6.09876E-05,4.028102968,0.246833664
296,60296,199 - Other,81547.12164,17200571.23,30931,30850,Alameda County,Alameda,199,,199 - Other,Other/Unknown,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,1.281662821,332.4915639,5186.7
297,60297,199 - Urban Reserve,56057.68266,18814320.07,30962,30881,Alameda County,Alameda,199,,199 - Urban Reserve,Other/Unknown,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,2.091846626,868.6587312,8465.41
298,60298,199 - Water,30393.71149,3035255.878,30978,30897,Alameda County,Alameda,199,,199 - Water,Water,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,285.82561,10327.58,1156695.17
299,60299,201 - A Street Interchange,6177.245608,696691.539,49314,49235,Antioch,Contra Costa,201,1990,201 - A Street Interchange,Other/Unknown,0.4,0,0,6,0,0,0,1,1,0,0,0,,1,1,0,1,1,,172.1562448,6177.25,696691.54
300,60300,201 - Business Park,10965.39245,520190.8417,49327,49248,Antioch,Contra Costa,201,1990,201 - Business Park,Commercial,0.5,0,0,0,0,0,0,1,1,1,0,0,,1,1,0,1,1,,0.029674216,81.06639813,120.0884052
301,60301,201 - Conveniance Commercial,2892.549181,96414.2395,49334,49255,Antioch,Contra Costa,201,1990,201 - Conveniance Commercial,Commercial,0.6,0,0,0,0,0,0,1,1,1,0,0,,1,1,0,1,1,,4.12749627,589.4423887,16703.38
302,60302,201 - East Lone Tree,7348.175698,3214506.939,49316,49237,Antioch,Contra Costa,201,1990,201 - East Lone Tree,Other/Unknown,0.5,0,0,0,0,0,0,1,1,0,0,0,,1,1,0,1,1,,794.3219725,7348.18,3214506.94
303,60303,201 - Eastern Waterfront Employment,11086.8673,1807413.349,49338,49259,Antioch,Contra Costa,201,1990,201 - Eastern Waterfront Employment,Commercial,0.55,0,0,0,0,0,0,1,1,1,0,0,,1,1,0,1,1,,169.7644301,6007.94,687012.2
304,60304,201 - Estate Residential,10688.76775,2733073.63,49340,49261,Antioch,Contra Costa,201,1990,201 - Estate Residential,Residential,0,0,2,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,,0.266877807,218.0935245,1080.02
305,60305,201 - General Industrial,685.0722121,5922.510543,49317,49238,Antioch,Contra Costa,201,1990,201 - General Industrial,Industrial,0,0,0,0,0,0,0,0,0,0,1,1,,0,0,0,0,0,,1.463483014,685.0722121,5922.51
306,60306,201 - High Density Residential,24054.9393,1263245.673,49344,49265,Antioch,Contra Costa,201,1990,201 - High Density Residential,Residential,0,0,20,0,1,1,1,0,0,0,0,0,,0,0,0,0,0,,14.39801736,1035.75,58266.71
307,60307,201 - Low Density Residential,44147.49953,6102604.266,49363,49284,Antioch,Contra Costa,201,1990,201 - Low Density Residential,Residential,0,0,4,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,,28.73213586,1452.72,116274.83
308,60308,201 - Medium Density Residential,11057.12686,870289.3552,49368,49289,Antioch,Contra Costa,201,1990,201 - Medium Density Residential,Residential,0,0,10,0,1,1,1,0,0,0,0,0,,0,0,0,0,0,,17.57313045,1082.8,71115.92
309,60309,201 - Medium Low Density Residential,153154.6806,20339652.23,49379,49300,Antioch,Contra Costa,201,1990,201 - Medium Low Density Residential,Residential,0,0,6,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,,0.02272384,76.18622592,91.9603029
310,60310,201 - Mixed Use,3243.105106,129924.6718,49395,49316,Antioch,Contra Costa,201,1990,201 - Mixed Use,Mixed Use,0.5,0,20,0,1,1,1,1,1,1,0,0,,1,1,1,1,1,,4.315607509,570.1180113,17464.65
311,60311,201 - Mixed Use Planned Community/Resort,816.7708993,4399.977043,49318,49239,Antioch,Contra Costa,201,1990,201 - Mixed Use Planned Community/Resort,Mixed Use: Residential & Commercial,0,0,20,0,1,1,1,1,1,1,0,0,,1,1,1,1,1,,1.087256044,816.7708993,4399.98
312,60312,201 - Neighborhood Commercial,20232.81943,1286835.679,49315,49236,Antioch,Contra Costa,201,1990,201 - Neighborhood Commercial,Commercial,0.4,0,0,0,0,0,0,1,1,1,0,0,,1,1,0,1,1,,4.922633171,609.4411594,19921.19
313,60313,201 - Office,10222.50324,455375.7622,49409,49330,Antioch,Contra Costa,201,1990,201 - Office,Commercial,0.5,0,0,0,0,0,0,1,0,0,0,0,,0,0,0,1,1,,11.90506441,1001.69,48178.09
314,60314,201 - Open Space,98441.17415,7790603.628,49417,49338,Antioch,Contra Costa,201,1990,201 - Open Space,Parks/Open Space,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0.002980374,26.59410028,12.06095219
315,60315,201 - Open Space (Antioch Dunes),909.9297454,7778.501265,49319,49240,Antioch,Contra Costa,201,1990,201 - Open Space (Antioch Dunes),Parks/Open Space,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,1.922107943,909.9297454,7778.5
316,60316,201 - Public/ Institutional,35032.96281,1649860.717,49482,49403,Antioch,Contra Costa,201,1990,201 - Public/ Institutional,Education/Public/Semi-Public,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,12.31366148,959.0263615,49831.62
317,60317,201 - Rivertown/Urban Waterfront,12256.63854,3944497.156,49320,49241,Antioch,Contra Costa,201,1990,201 - Rivertown/Urban Waterfront,Other/Unknown,1.5,0,20,0,0,1,1,0,0,0,0,0,,0,0,0,0,0,,974.7064676,12256.64,3944497.16
318,60318,201 - Sand Creek,20794.87317,11363393.64,49524,49445,Antioch,Contra Costa,201,1990,201 - Sand Creek,Other/Unknown,0.5,0,20,0,1,1,1,0,0,0,0,0,,0,0,0,0,0,,0.104110781,163.5866905,421.3194613
319,60319,201 - Somersville Road Corridor,9634.426191,1349553.235,49321,49242,Antioch,Contra Costa,201,1990,201 - Somersville Road Corridor,Other/Unknown,0.5,0,0,0,0,0,0,1,1,0,0,0,,1,1,0,1,1,,333.4818672,9634.43,1349553.23
320,60320,201 - State Route 4 Industrial Frontage,8485.98704,1713319.864,49322,49243,Antioch,Contra Costa,201,1990,201 - State Route 4 Industrial Frontage,Industrial,1.25,0,0,0,0,0,0,0,0,0,1,1,,0,0,0,0,0,,423.3705449,8485.99,1713319.86
321,60321,201 - Western Gateway,1788.264849,148376.3548,49323,49244,Antioch,Contra Costa,201,1990,201 - Western Gateway,Other/Unknown,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,36.66460067,1788.26,148376.35
322,60322,202 - Agriculture Conservation,6296.919836,25790.83619,43750,43646,Brentwood,Contra Costa,202,Jun-93,202 - Agriculture Conservation,Agriculture/Resource Extraction,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0.012763714,232.839967,51.65296096
323,60323,202 - Business Office,6658.360113,584649.7643,43756,43652,Brentwood,Contra Costa,202,Jun-93,202 - Business Office,Commercial,1.28,30,0,0,0,0,0,1,0,0,0,0,,0,0,0,1,1,,0.811012573,460.0584268,3282.06
324,60324,202 - Community Park,5038.556384,297318.0347,43759,43655,Brentwood,Contra Costa,202,Jun-93,202 - Community Park,Parks/Open Space,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,16.49332327,1970.96,66746.11
325,60325,202 - Downtown Mixed Use Area,3821.05374,461432.4586,43702,43598,Brentwood,Contra Costa,202,Jun-93,202 - Downtown Mixed Use Area,Mixed Use,2.7,0,16,0,1,1,1,1,1,1,0,0,,1,1,1,1,1,,114.022437,3821.05,461432.46
326,60326,202 - Elementary School,3426.460828,169060.7089,43762,43658,Brentwood,Contra Costa,202,Jun-93,202 - Elementary School,Education/Public/Semi-Public,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,10.96381974,836.5186656,44369.01
327,60327,202 - High Density Residential,9309.285275,581609.776,43766,43662,Brentwood,Contra Costa,202,Jun-93,202 - High Density Residential,Residential,1.8,36,16,0,0,1,1,0,0,0,0,0,,0,0,0,0,0,,17.41670412,1050.37,70482.91
328,60328,202 - High School,1791.441972,160337.5429,43703,43599,Brentwood,Contra Costa,202,Jun-93,202 - High School,Education/Public/Semi-Public,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,39.62027284,1791.44,160337.54
329,60329,202 - Light Industrial,7514.358247,834498.4753,43774,43670,Brentwood,Contra Costa,202,Jun-93,202 - Light Industrial,Industrial,0,0,0,0,0,0,0,0,0,0,1,1,,0,0,0,0,0,,87.63679406,3301.32,354653.54
330,60330,202 - Low Density Residential,66143.01757,10580926.41,43777,43673,Brentwood,Contra Costa,202,Jun-93,202 - Low Density Residential,Residential,0,30,3.6,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,,0.016752326,270.7989861,67.79762097
331,60331,202 - Medium Density Residential,25800.27756,1872501.413,43798,43694,Brentwood,Contra Costa,202,Jun-93,202 - Medium Density Residential,Residential,0.8,30,16,0,1,1,1,0,0,0,0,0,,0,0,0,0,0,,28.3039355,2221.69,114541.93
